Year,Period,Avg hrs per day sleeping,Standard Error,Type of Days,Age Group,Activity,Sex
2006,Annual,8.75,0.131,Nonholiday weekdays,15 to 24 years,Sleeping,Women
2007,Annual,8.84,0.133,Nonholiday weekdays,15 to 24 years,Sleeping,Women
2008,Annual,8.76,0.15,Nonholiday weekdays,15 to 24 years,Sleeping,Women
2009,Annual,9.13,0.13,Nonholiday weekdays,15 to 24 years,Sleeping,Women
2010,Annual,9,0.15,Nonholiday weekdays,15 to 24 years,Sleeping,Women
2011,Annual,8.96,0.134,Nonholiday weekdays,15 to 24 years,Sleeping,Women
2012,Annual,9.22,0.152,Nonholiday weekdays,15 to 24 years,Sleeping,Women
2013,Annual,9.07,0.174,Nonholiday weekdays,15 to 24 years,Sleeping,Women
2014,Annual,9.3,0.168,Nonholiday weekdays,15 to 24 years,Sleeping,Women
2015,Annual,9.42,0.154,Nonholiday weekdays,15 to 24 years,Sleeping,Women
2016,Annual,9.09,0.181,Nonholiday weekdays,15 to 24 years,Sleeping,Women
2017,Annual,9.31,0.178,Nonholiday weekdays,15 to 24 years,Sleeping,Women
2003,Annual,8.730,0.056,All days,25 to 34 years,Sleeping,Women
2004,Annual,8.510,0.069,All days,25 to 34 years,Sleeping,Women
2005,Annual,8.850,0.067,All days,25 to 34 years,Sleeping,Women
2006,Annual,8.750,0.082,All days,25 to 34 years,Sleeping,Women
2007,Annual,8.690,0.075,All days,25 to 34 years,Sleeping,Women
2008,Annual,8.600,0.089,All days,25 to 34 years,Sleeping,Women
2009,Annual,8.610,0.072,All days,25 to 34 years,Sleeping,Women
2010,Annual,8.890,0.072,All days,25 to 34 years,Sleeping,Women
2011,Annual,8.830,0.064,All days,25 to 34 years,Sleeping,Women
2012,Annual,8.970,0.074,All days,25 to 34 years,Sleeping,Women
2013,Annual,8.850,0.081,All days,25 to 34 years,Sleeping,Women
2014,Annual,8.910,0.077,All days,25 to 34 years,Sleeping,Women
2015,Annual,8.960,0.084,All days,25 to 34 years,Sleeping,Women
2016,Annual,8.870,0.093,All days,25 to 34 years,Sleeping,Women
2017,Annual,9.040,0.089,All days,25 to 34 years,Sleeping,Women
2003,Annual,9.450,0.075,Weekend days and holidays,25 to 34 years,Sleeping,Women
2004,Annual,9.370,0.088,Weekend days and holidays,25 to 34 years,Sleeping,Women
2005,Annual,9.740,0.105,Weekend days and holidays,25 to 34 years,Sleeping,Women
2006,Annual,9.440,0.099,Weekend days and holidays,25 to 34 years,Sleeping,Women
2007,Annual,9.360,0.102,Weekend days and holidays,25 to 34 years,Sleeping,Women
2008,Annual,9.580,0.094,Weekend days and holidays,25 to 34 years,Sleeping,Women
2009,Annual,9.530,0.103,Weekend days and holidays,25 to 34 years,Sleeping,Women
2010,Annual,9.620,0.123,Weekend days and holidays,25 to 34 years,Sleeping,Women
2011,Annual,9.430,0.110,Weekend days and holidays,25 to 34 years,Sleeping,Women
2012,Annual,9.690,0.124,Weekend days and holidays,25 to 34 years,Sleeping,Women
2013,Annual,9.510,0.140,Weekend days and holidays,25 to 34 years,Sleeping,Women
2014,Annual,9.720,0.125,Weekend days and holidays,25 to 34 years,Sleeping,Women
2015,Annual,9.520,0.118,Weekend days and holidays,25 to 34 years,Sleeping,Women
2016,Annual,9.650,0.130,Weekend days and holidays,25 to 34 years,Sleeping,Women
2017,Annual,9.680,0.144,Weekend days and holidays,25 to 34 years,Sleeping,Women
2003,Annual,8.440,0.075,Nonholiday weekdays,25 to 34 years,Sleeping,Women
2004,Annual,8.160,0.088,Nonholiday weekdays,25 to 34 years,Sleeping,Women
2005,Annual,8.470,0.084,Nonholiday weekdays,25 to 34 years,Sleeping,Women
2006,Annual,8.450,0.111,Nonholiday weekdays,25 to 34 years,Sleeping,Women
2007,Annual,8.410,0.099,Nonholiday weekdays,25 to 34 years,Sleeping,Women
2008,Annual,8.200,0.119,Nonholiday weekdays,25 to 34 years,Sleeping,Women
2009,Annual,8.230,0.087,Nonholiday weekdays,25 to 34 years,Sleeping,Women
2010,Annual,8.590,0.090,Nonholiday weekdays,25 to 34 years,Sleeping,Women
2011,Annual,8.570,0.084,Nonholiday weekdays,25 to 34 years,Sleeping,Women
2012,Annual,8.650,0.091,Nonholiday weekdays,25 to 34 years,Sleeping,Women
2013,Annual,8.560,0.096,Nonholiday weekdays,25 to 34 years,Sleeping,Women
2014,Annual,8.570,0.102,Nonholiday weekdays,25 to 34 years,Sleeping,Women
2015,Annual,8.710,0.112,Nonholiday weekdays,25 to 34 years,Sleeping,Women
2016,Annual,8.540,0.124,Nonholiday weekdays,25 to 34 years,Sleeping,Women
2017,Annual,8.780,0.113,Nonholiday weekdays,25 to 34 years,Sleeping,Women
2003,Annual,8.480,0.053,All days,35 to 44 years,Sleeping,Women
2004,Annual,8.300,0.062,All days,35 to 44 years,Sleeping,Women
2005,Annual,8.380,0.054,All days,35 to 44 years,Sleeping,Women
2006,Annual,8.490,0.073,All days,35 to 44 years,Sleeping,Women
2007,Annual,8.410,0.071,All days,35 to 44 years,Sleeping,Women
2008,Annual,8.440,0.060,All days,35 to 44 years,Sleeping,Women
2009,Annual,8.530,0.069,All days,35 to 44 years,Sleeping,Women
2010,Annual,8.500,0.072,All days,35 to 44 years,Sleeping,Women
2011,Annual,8.510,0.069,All days,35 to 44 years,Sleeping,Women
2012,Annual,8.690,0.080,All days,35 to 44 years,Sleeping,Women
2013,Annual,8.670,0.068,All days,35 to 44 years,Sleeping,Women
2014,Annual,8.630,0.064,All days,35 to 44 years,Sleeping,Women
2015,Annual,8.680,0.083,All days,35 to 44 years,Sleeping,Women
2016,Annual,8.580,0.064,All days,35 to 44 years,Sleeping,Women
2017,Annual,8.770,0.088,All days,35 to 44 years,Sleeping,Women
2003,Annual,9.310,0.060,Weekend days and holidays,35 to 44 years,Sleeping,Women
2004,Annual,8.980,0.080,Weekend days and holidays,35 to 44 years,Sleeping,Women
2005,Annual,9.260,0.083,Weekend days and holidays,35 to 44 years,Sleeping,Women
2006,Annual,9.280,0.113,Weekend days and holidays,35 to 44 years,Sleeping,Women
2007,Annual,9.230,0.087,Weekend days and holidays,35 to 44 years,Sleeping,Women
2008,Annual,9.270,0.108,Weekend days and holidays,35 to 44 years,Sleeping,Women
2009,Annual,9.250,0.090,Weekend days and holidays,35 to 44 years,Sleeping,Women
2010,Annual,9.350,0.089,Weekend days and holidays,35 to 44 years,Sleeping,Women
2011,Annual,9.330,0.130,Weekend days and holidays,35 to 44 years,Sleeping,Women
2012,Annual,9.470,0.097,Weekend days and holidays,35 to 44 years,Sleeping,Women
2013,Annual,9.420,0.105,Weekend days and holidays,35 to 44 years,Sleeping,Women
2014,Annual,9.500,0.101,Weekend days and holidays,35 to 44 years,Sleeping,Women
2015,Annual,9.350,0.106,Weekend days and holidays,35 to 44 years,Sleeping,Women
2016,Annual,9.410,0.112,Weekend days and holidays,35 to 44 years,Sleeping,Women
2017,Annual,9.460,0.112,Weekend days and holidays,35 to 44 years,Sleeping,Women
2003,Annual,8.130,0.069,Nonholiday weekdays,35 to 44 years,Sleeping,Women
2004,Annual,8.010,0.082,Nonholiday weekdays,35 to 44 years,Sleeping,Women
2005,Annual,8.010,0.069,Nonholiday weekdays,35 to 44 years,Sleeping,Women
2006,Annual,8.160,0.092,Nonholiday weekdays,35 to 44 years,Sleeping,Women
2007,Annual,8.070,0.095,Nonholiday weekdays,35 to 44 years,Sleeping,Women
2008,Annual,8.080,0.073,Nonholiday weekdays,35 to 44 years,Sleeping,Women
2009,Annual,8.230,0.088,Nonholiday weekdays,35 to 44 years,Sleeping,Women
2010,Annual,8.140,0.097,Nonholiday weekdays,35 to 44 years,Sleeping,Women
2011,Annual,8.150,0.080,Nonholiday weekdays,35 to 44 years,Sleeping,Women
2012,Annual,8.360,0.102,Nonholiday weekdays,35 to 44 years,Sleeping,Women
2013,Annual,8.340,0.087,Nonholiday weekdays,35 to 44 years,Sleeping,Women
2014,Annual,8.250,0.084,Nonholiday weekdays,35 to 44 years,Sleeping,Women
2015,Annual,8.390,0.106,Nonholiday weekdays,35 to 44 years,Sleeping,Women
2016,Annual,8.220,0.078,Nonholiday weekdays,35 to 44 years,Sleeping,Women
2017,Annual,8.480,0.115,Nonholiday weekdays,35 to 44 years,Sleeping,Women
2003,Annual,8.260,0.050,All days,45 to 54 years,Sleeping,Women
2004,Annual,8.230,0.059,All days,45 to 54 years,Sleeping,Women
2005,Annual,8.360,0.071,All days,45 to 54 years,Sleeping,Women
2006,Annual,8.400,0.079,All days,45 to 54 years,Sleeping,Women
2007,Annual,8.290,0.072,All days,45 to 54 years,Sleeping,Women
2008,Annual,8.390,0.085,All days,45 to 54 years,Sleeping,Women
2009,Annual,8.420,0.067,All days,45 to 54 years,Sleeping,Women
2010,Annual,8.360,0.074,All days,45 to 54 years,Sleeping,Women
2011,Annual,8.510,0.092,All days,45 to 54 years,Sleeping,Women
2012,Annual,8.460,0.077,All days,45 to 54 years,Sleeping,Women
2013,Annual,8.610,0.071,All days,45 to 54 years,Sleeping,Women
2014,Annual,8.680,0.081,All days,45 to 54 years,Sleeping,Women
2015,Annual,8.490,0.080,All days,45 to 54 years,Sleeping,Women
2016,Annual,8.710,0.112,All days,45 to 54 years,Sleeping,Women
2017,Annual,8.520,0.098,All days,45 to 54 years,Sleeping,Women
2003,Annual,9.040,0.076,Weekend days and holidays,45 to 54 years,Sleeping,Women
2004,Annual,9.050,0.088,Weekend days and holidays,45 to 54 years,Sleeping,Women
2005,Annual,9.080,0.099,Weekend days and holidays,45 to 54 years,Sleeping,Women
2006,Annual,9.400,0.106,Weekend days and holidays,45 to 54 years,Sleeping,Women
2007,Annual,8.890,0.111,Weekend days and holidays,45 to 54 years,Sleeping,Women
2008,Annual,9.130,0.098,Weekend days and holidays,45 to 54 years,Sleeping,Women
2009,Annual,9.190,0.114,Weekend days and holidays,45 to 54 years,Sleeping,Women
2010,Annual,9.220,0.101,Weekend days and holidays,45 to 54 years,Sleeping,Women
2011,Annual,9.140,0.107,Weekend days and holidays,45 to 54 years,Sleeping,Women
2012,Annual,9.250,0.130,Weekend days and holidays,45 to 54 years,Sleeping,Women
2013,Annual,9.340,0.129,Weekend days and holidays,45 to 54 years,Sleeping,Women
2014,Annual,9.490,0.129,Weekend days and holidays,45 to 54 years,Sleeping,Women
2015,Annual,9.400,0.105,Weekend days and holidays,45 to 54 years,Sleeping,Women
2016,Annual,9.300,0.145,Weekend days and holidays,45 to 54 years,Sleeping,Women
2017,Annual,9.220,0.149,Weekend days and holidays,45 to 54 years,Sleeping,Women
2003,Annual,7.930,0.061,Nonholiday weekdays,45 to 54 years,Sleeping,Women
2004,Annual,7.900,0.073,Nonholiday weekdays,45 to 54 years,Sleeping,Women
2005,Annual,8.060,0.093,Nonholiday weekdays,45 to 54 years,Sleeping,Women
2006,Annual,7.970,0.105,Nonholiday weekdays,45 to 54 years,Sleeping,Women
2007,Annual,8.040,0.092,Nonholiday weekdays,45 to 54 years,Sleeping,Women
2008,Annual,8.070,0.111,Nonholiday weekdays,45 to 54 years,Sleeping,Women
2009,Annual,8.080,0.087,Nonholiday weekdays,45 to 54 years,Sleeping,Women
2010,Annual,7.990,0.102,Nonholiday weekdays,45 to 54 years,Sleeping,Women
2011,Annual,8.250,0.112,Nonholiday weekdays,45 to 54 years,Sleeping,Women
2012,Annual,8.120,0.100,Nonholiday weekdays,45 to 54 years,Sleeping,Women
2013,Annual,8.290,0.092,Nonholiday weekdays,45 to 54 years,Sleeping,Women
2014,Annual,8.330,0.101,Nonholiday weekdays,45 to 54 years,Sleeping,Women
2015,Annual,8.120,0.103,Nonholiday weekdays,45 to 54 years,Sleeping,Women
2016,Annual,8.470,0.143,Nonholiday weekdays,45 to 54 years,Sleeping,Women
2017,Annual,8.220,0.128,Nonholiday weekdays,45 to 54 years,Sleeping,Women
2003,Annual,8.390,0.055,All days,55 to 64 years,Sleeping,Women
2004,Annual,8.300,0.073,All days,55 to 64 years,Sleeping,Women
2005,Annual,8.350,0.069,All days,55 to 64 years,Sleeping,Women
2006,Annual,8.470,0.083,All days,55 to 64 years,Sleeping,Women
2007,Annual,8.200,0.081,All days,55 to 64 years,Sleeping,Women
2008,Annual,8.290,0.084,All days,55 to 64 years,Sleeping,Women
2009,Annual,8.490,0.072,All days,55 to 64 years,Sleeping,Women
2010,Annual,8.490,0.074,All days,55 to 64 years,Sleeping,Women
2011,Annual,8.540,0.076,All days,55 to 64 years,Sleeping,Women
2012,Annual,8.610,0.073,All days,55 to 64 years,Sleeping,Women
2013,Annual,8.460,0.080,All days,55 to 64 years,Sleeping,Women
2014,Annual,8.510,0.065,All days,55 to 64 years,Sleeping,Women
2015,Annual,8.630,0.088,All days,55 to 64 years,Sleeping,Women
2016,Annual,8.610,0.078,All days,55 to 64 years,Sleeping,Women
2017,Annual,8.510,0.086,All days,55 to 64 years,Sleeping,Women
2003,Annual,8.930,0.077,Weekend days and holidays,55 to 64 years,Sleeping,Women
2004,Annual,8.790,0.103,Weekend days and holidays,55 to 64 years,Sleeping,Women
2005,Annual,8.780,0.103,Weekend days and holidays,55 to 64 years,Sleeping,Women
2006,Annual,8.830,0.105,Weekend days and holidays,55 to 64 years,Sleeping,Women
2007,Annual,8.760,0.110,Weekend days and holidays,55 to 64 years,Sleeping,Women
2008,Annual,8.880,0.113,Weekend days and holidays,55 to 64 years,Sleeping,Women
2009,Annual,9.020,0.115,Weekend days and holidays,55 to 64 years,Sleeping,Women
2010,Annual,9.030,0.095,Weekend days and holidays,55 to 64 years,Sleeping,Women
2011,Annual,8.970,0.116,Weekend days and holidays,55 to 64 years,Sleeping,Women
2012,Annual,9.040,0.099,Weekend days and holidays,55 to 64 years,Sleeping,Women
2013,Annual,8.840,0.106,Weekend days and holidays,55 to 64 years,Sleeping,Women
2014,Annual,9.050,0.097,Weekend days and holidays,55 to 64 years,Sleeping,Women
2015,Annual,9.020,0.110,Weekend days and holidays,55 to 64 years,Sleeping,Women
2016,Annual,9.090,0.106,Weekend days and holidays,55 to 64 years,Sleeping,Women
2017,Annual,9.040,0.098,Weekend days and holidays,55 to 64 years,Sleeping,Women
2003,Annual,8.170,0.073,Nonholiday weekdays,55 to 64 years,Sleeping,Women
2004,Annual,8.100,0.092,Nonholiday weekdays,55 to 64 years,Sleeping,Women
2005,Annual,8.170,0.093,Nonholiday weekdays,55 to 64 years,Sleeping,Women
2006,Annual,8.320,0.102,Nonholiday weekdays,55 to 64 years,Sleeping,Women
2007,Annual,7.980,0.105,Nonholiday weekdays,55 to 64 years,Sleeping,Women
2008,Annual,8.040,0.098,Nonholiday weekdays,55 to 64 years,Sleeping,Women
2009,Annual,8.270,0.101,Nonholiday weekdays,55 to 64 years,Sleeping,Women
2010,Annual,8.270,0.093,Nonholiday weekdays,55 to 64 years,Sleeping,Women
2011,Annual,8.350,0.097,Nonholiday weekdays,55 to 64 years,Sleeping,Women
2012,Annual,8.440,0.101,Nonholiday weekdays,55 to 64 years,Sleeping,Women
2013,Annual,8.290,0.103,Nonholiday weekdays,55 to 64 years,Sleeping,Women
2014,Annual,8.290,0.085,Nonholiday weekdays,55 to 64 years,Sleeping,Women
2015,Annual,8.470,0.116,Nonholiday weekdays,55 to 64 years,Sleeping,Women
2016,Annual,8.400,0.101,Nonholiday weekdays,55 to 64 years,Sleeping,Women
2017,Annual,8.290,0.113,Nonholiday weekdays,55 to 64 years,Sleeping,Women
2003,Annual,8.840,0.049,All days,65 years and over,Sleeping,Women
2004,Annual,8.930,0.054,All days,65 years and over,Sleeping,Women
2005,Annual,8.950,0.070,All days,65 years and over,Sleeping,Women
2006,Annual,8.820,0.071,All days,65 years and over,Sleeping,Women
2007,Annual,8.910,0.071,All days,65 years and over,Sleeping,Women
2008,Annual,8.940,0.070,All days,65 years and over,Sleeping,Women
2009,Annual,8.960,0.067,All days,65 years and over,Sleeping,Women
2010,Annual,9.040,0.072,All days,65 years and over,Sleeping,Women
2011,Annual,9.090,0.069,All days,65 years and over,Sleeping,Women
2012,Annual,8.870,0.068,All days,65 years and over,Sleeping,Women
2013,Annual,8.900,0.063,All days,65 years and over,Sleeping,Women
2014,Annual,9.020,0.066,All days,65 years and over,Sleeping,Women
2015,Annual,8.970,0.059,All days,65 years and over,Sleeping,Women
2016,Annual,8.970,0.054,All days,65 years and over,Sleeping,Women
2017,Annual,8.910,0.072,All days,65 years and over,Sleeping,Women
2003,Annual,9.180,0.072,Weekend days and holidays,65 years and over,Sleeping,Women
2004,Annual,9.050,0.067,Weekend days and holidays,65 years and over,Sleeping,Women
2005,Annual,9.280,0.119,Weekend days and holidays,65 years and over,Sleeping,Women
2006,Annual,8.940,0.094,Weekend days and holidays,65 years and over,Sleeping,Women
2007,Annual,9.130,0.104,Weekend days and holidays,65 years and over,Sleeping,Women
2008,Annual,9.310,0.099,Weekend days and holidays,65 years and over,Sleeping,Women
2009,Annual,9.210,0.083,Weekend days and holidays,65 years and over,Sleeping,Women
2010,Annual,9.220,0.094,Weekend days and holidays,65 years and over,Sleeping,Women
2011,Annual,9.290,0.094,Weekend days and holidays,65 years and over,Sleeping,Women
2012,Annual,9.060,0.104,Weekend days and holidays,65 years and over,Sleeping,Women
2013,Annual,9.060,0.091,Weekend days and holidays,65 years and over,Sleeping,Women
2014,Annual,9.130,0.094,Weekend days and holidays,65 years and over,Sleeping,Women
2015,Annual,9.300,0.086,Weekend days and holidays,65 years and over,Sleeping,Women
2016,Annual,9.100,0.081,Weekend days and holidays,65 years and over,Sleeping,Women
2017,Annual,9.150,0.100,Weekend days and holidays,65 years and over,Sleeping,Women
2003,Annual,8.700,0.060,Nonholiday weekdays,65 years and over,Sleeping,Women
2004,Annual,8.880,0.071,Nonholiday weekdays,65 years and over,Sleeping,Women
2005,Annual,8.810,0.081,Nonholiday weekdays,65 years and over,Sleeping,Women
2006,Annual,8.770,0.097,Nonholiday weekdays,65 years and over,Sleeping,Women
2007,Annual,8.820,0.088,Nonholiday weekdays,65 years and over,Sleeping,Women
2008,Annual,8.790,0.086,Nonholiday weekdays,65 years and over,Sleeping,Women
2009,Annual,8.860,0.083,Nonholiday weekdays,65 years and over,Sleeping,Women
2010,Annual,8.960,0.092,Nonholiday weekdays,65 years and over,Sleeping,Women
2011,Annual,9.020,0.085,Nonholiday weekdays,65 years and over,Sleeping,Women
2012,Annual,8.790,0.089,Nonholiday weekdays,65 years and over,Sleeping,Women
2013,Annual,8.830,0.085,Nonholiday weekdays,65 years and over,Sleeping,Women
2014,Annual,8.980,0.086,Nonholiday weekdays,65 years and over,Sleeping,Women
2015,Annual,8.830,0.074,Nonholiday weekdays,65 years and over,Sleeping,Women
2016,Annual,8.920,0.071,Nonholiday weekdays,65 years and over,Sleeping,Women
2017,Annual,8.810,0.091,Nonholiday weekdays,65 years and over,Sleeping,Women
